order_id,signal_date,execution_date,symbol,side,target_value_gap,requested_quantity,approved_quantity,passed,reason_code,message,base_trade_price,price_limit_down,price_limit_up,price_limit_source,price_limit_fallback_reason
39ba95100b1b32516608f8c874832369,2024-01-02,2024-01-03,SH.518880,BUY,450000.00000,96500,96500,True,APPROVED,approved,4.66300000,4.19900000,5.13300000,TUSHARE_EXPLICIT,
7df45f4d1cb7c95658dd8dfeeb0dee46,2024-01-02,2024-01-03,SH.588000,BUY,450000.00000,514800,514800,True,APPROVED,approved,0.87400000,0.70900000,1.06300000,TUSHARE_EXPLICIT,
15478d653af39e18908a36e28cee241c,2024-01-03,2024-01-04,SH.518880,SELL,-1679.41220,300,300,True,APPROVED,approved,4.65100000,4.19700000,5.12900000,TUSHARE_EXPLICIT,
9d64c5eb87b336f8504a57e583f80cf2,2024-01-03,2024-01-04,SH.588000,BUY,1325.28780,1500,1500,True,APPROVED,approved,0.86600000,0.69900000,1.04900000,TUSHARE_EXPLICIT,
24e9588c35bc66db4a22c0572576f60c,2024-01-04,2024-01-05,SH.518880,SELL,-4927.21720,1000,1000,True,APPROVED,approved,4.66400000,4.18600000,5.11600000,TUSHARE_EXPLICIT,
eca8dd74709c4295f8715dddc77bcf05,2024-01-04,2024-01-05,SH.588000,BUY,5410.88280,6300,6300,True,APPROVED,approved,0.84900000,0.69300000,1.03900000,TUSHARE_EXPLICIT,
86e7ae7980563f20797486272f966898,2024-01-05,2024-01-08,SH.518880,SELL,-5418.11220,1100,1100,True,APPROVED,approved,4.65000000,4.19800000,5.13000000,TUSHARE_EXPLICIT,
b04ffe5633741a5bf02093e454e70811,2024-01-05,2024-01-08,SH.588000,BUY,6639.48780,8000,8000,True,APPROVED,approved,0.82400000,0.67900000,1.01900000,TUSHARE_EXPLICIT,
a7ee6cf16e0f89a39526c0315ef77ead,2024-01-09,2024-01-10,SH.518880,SELL,-787.7264564067277313069110,100,100,True,APPROVED,approved,4.63100000,4.18400000,5.11400000,TUSHARE_EXPLICIT,
b2632542b798b9f4136e4daae81edfd3,2024-01-09,2024-01-10,SH.588000,BUY,1010.0820564067277313069110,1200,1200,True,APPROVED,approved,0.81800000,0.65900000,0.98900000,TUSHARE_EXPLICIT,
4edbd1ba14e3bfd5c9027ef8c2d05911,2024-01-10,2024-01-11,SH.588000,SELL,-3193.9274030625948219140528,3800,3800,True,APPROVED,approved,0.82900000,0.65400000,0.98200000,TUSHARE_EXPLICIT,
b9e875e528c97687a7c0492489289ebd,2024-01-10,2024-01-11,SH.518880,BUY,2302.4530030625948219140528,400,400,True,APPROVED,approved,4.63100000,4.16800000,5.09400000,TUSHARE_EXPLICIT,
fdaf9674de0f2739aa9dd34b142b4ffd,2024-01-11,2024-01-12,SH.518880,SELL,-2948.9795882535938789140629,600,600,True,APPROVED,approved,4.64600000,4.16800000,5.09400000,TUSHARE_EXPLICIT,
de4edaf09a5bdf81a000c993cf3febbf,2024-01-11,2024-01-12,SH.588000,BUY,3781.0051882535938789140629,4600,4600,True,APPROVED,approved,0.81800000,0.66300000,0.99500000,TUSHARE_EXPLICIT,
b93eaae66bc2826caf060796888df918,2024-01-12,2024-01-15,SH.518880,SELL,-2760.0356772949409406979447,500,500,True,APPROVED,approved,4.67300000,4.18100000,5.11100000,TUSHARE_EXPLICIT,
acee32c3a872380631d6f4cabbcd1a10,2024-01-12,2024-01-15,SH.588000,BUY,2615.1412772949409406979447,3200,3200,True,APPROVED,approved,0.81300000,0.65400000,0.98200000,TUSHARE_EXPLICIT,
dd6480d607e5a4fc1d090c30c03455f0,2024-01-15,2024-01-16,SH.588000,SELL,-1003.8270738953720324950884,1200,1200,True,APPROVED,approved,0.81700000,0.65000000,0.97600000,TUSHARE_EXPLICIT,
30f4afbff3b3cae8fd7c7618b8c1ce91,2024-01-16,2024-01-17,SH.518880,SELL,-2580.02220,500,500,True,APPROVED,approved,4.63100000,4.20900000,5.14500000,TUSHARE_EXPLICIT,
087453a236504a706c4d18f7817be54d,2024-01-16,2024-01-17,SH.588000,BUY,4485.27780,5600,5600,True,APPROVED,approved,0.79500000,0.65400000,0.98000000,TUSHARE_EXPLICIT,
71300d5f0b1598e23c634b4f0e6decf8,2024-01-17,2024-01-18,SH.588000,SELL,-3843.4791454248654328547562,4700,4700,True,APPROVED,approved,0.80600000,0.63600000,0.95400000,TUSHARE_EXPLICIT,
4b07d9d6c57d660cd70be781c66ae287,2024-01-17,2024-01-18,SH.518880,BUY,3141.8247454248654328547562,600,600,True,APPROVED,approved,4.61600000,4.16800000,5.09400000,TUSHARE_EXPLICIT,
8b1ba62cde3db21d0a3712e41b0bb3dd,2024-01-18,2024-01-19,SH.518880,SELL,-1745.1391998723911125719943,300,300,True,APPROVED,approved,4.64300000,4.15400000,5.07800000,TUSHARE_EXPLICIT,
6a00a8a929e3d2df81c5a804deed2eb8,2024-01-18,2024-01-19,SH.588000,BUY,1955.7047998723911125719943,2400,2400,True,APPROVED,approved,0.80300000,0.64500000,0.96700000,TUSHARE_EXPLICIT,
2d0f1e80b187bf2d40293e5a3c660f43,2024-01-19,2024-01-22,SH.518880,SELL,-5971.5872787139108977559613,1200,1200,True,APPROVED,approved,4.62500000,4.17900000,5.10700000,TUSHARE_EXPLICIT,
19a6a78d926d9784d2eca56950deea33,2024-01-19,2024-01-22,SH.588000,BUY,7255.7928787139108977559613,9300,9300,True,APPROVED,approved,0.77600000,0.64200000,0.96400000,TUSHARE_EXPLICIT,
c764bfe9f645ade15eb4826fcfbf898c,2024-01-22,2024-01-23,SH.588000,SELL,-2691.2648111737106227625801,3400,3400,True,APPROVED,approved,0.78600000,0.62100000,0.93100000,TUSHARE_EXPLICIT,
468d9c4f7fdd8f7ae2ac981127e37b17,2024-01-22,2024-01-23,SH.518880,BUY,1676.5304111737106227625801,300,300,True,APPROVED,approved,4.63200000,4.16300000,5.08800000,TUSHARE_EXPLICIT,
145570267fe2b2c10e4b4542fcff9644,2024-01-23,2024-01-24,SH.588000,SELL,-872.4059549775567183606520,1100,1100,True,APPROVED,approved,0.78800000,0.62900000,0.94300000,TUSHARE_EXPLICIT,
3b4649997a1983dbc55ce5a598f788eb,2024-01-23,2024-01-24,SH.518880,BUY,1074.1615549775567183606520,200,200,True,APPROVED,approved,4.62600000,4.16900000,5.09500000,TUSHARE_EXPLICIT,
e70605e2cffa7c792bf96af82ab10655,2024-01-24,2024-01-25,SH.588000,SELL,-5659.6316289980690315315459,7000,7000,True,APPROVED,approved,0.80400000,0.63000000,0.94600000,TUSHARE_EXPLICIT,
9db4632e5f0781c09c6fa2ee7b434b9e,2024-01-24,2024-01-25,SH.518880,BUY,5118.1772289980690315315459,1100,1100,True,APPROVED,approved,4.60500000,4.16300000,5.08900000,TUSHARE_EXPLICIT,
f1a8c222c659170eaaf77377b866b4ec,2024-01-25,2024-01-26,SH.518880,SELL,-5564.9708853736144750981441,1200,1200,True,APPROVED,approved,4.62500000,4.14500000,5.06600000,TUSHARE_EXPLICIT,
